AvgDistance,LowestDistanceThisGen,LowestDistance
52260.59,46327.18,46327.18
48524.99,45807.55,45807.55
47149.97,44205.18,44205.18
45823.39,43484.99,43484.99
45167.55,42726.66,42726.66
44196.39,41542.72,41542.72
42847.87,40267.3,40267.3
42211.23,39203.99,39203.99
41233.34,38710.72,38710.72
40926.96,38388.58,38388.58
40137.89,37581.42,37581.42
39273.99,35941.56,35941.56
38796.73,36244.22,35941.56
38145.09,34436.26,34436.26
37342.29,34376.39,34376.39
36836.16,34128.71,34128.71
36229.22,34287.67,34128.71
36262.27,34259.1,34128.71
35955.1,33340.24,33340.24
35835.91,33138.66,33138.66
35168.39,32235.7,32235.7
34619.86,32409.14,32235.7
34768.49,32240.6,32235.7
34671.39,32348.39,32235.7
34725.92,32072.1,32072.1
34589.23,32258.15,32072.1
34442.37,32004.57,32004.57
34472.19,30571.18,30571.18
34085.38,30912.66,30571.18
33816.24,31048.7,30571.18
33082.07,30656.03,30571.18
33175.28,30618.01,30571.18
32886.18,29942.27,29942.27
32915.76,30177.82,29942.27
32375.73,30430.23,29942.27
32504.03,29715.17,29715.17
32261.89,29532.23,29532.23
32241.48,30114.05,29532.23
32146.13,30090.87,29532.23
32182.15,29952.74,29532.23
32170.51,29983.36,29532.23
32270.55,29883.81,29532.23
32081.84,29527.35,29527.35
31752.63,29442.55,29442.55
31580.93,29359.95,29359.95
31914.64,28592.55,28592.55
31444.98,28993.97,28592.55
30978.71,28110.52,28110.52
30449.26,28110.52,28110.52
30264.55,27272.72,27272.72
29838.43,27363.59,27272.72
29857.34,27774.28,27272.72
29860.84,26856.28,26856.28
29288.8,27234.37,26856.28
29451.97,26415.29,26415.29
29667.7,27563.46,26415.29
29794.92,27682.19,26415.29
29384.5,27228.0,26415.29
29829.77,26475.14,26415.29
29483.55,26776.4,26415.29
29149.77,26461.91,26415.29
28446.72,26206.67,26206.67
28488.11,25710.29,25710.29
28286.3,25490.71,25490.71
27990.93,25338.67,25338.67
28268.08,25646.45,25338.67
28163.07,25870.0,25338.67
28149.29,25874.84,25338.67
28175.57,25452.73,25338.67
27924.79,25616.69,25338.67
28136.8,25515.22,25338.67
28088.35,25216.36,25216.36
28520.94,25089.11,25089.11
28677.32,26357.87,25089.11
28941.19,26427.13,25089.11
28947.25,26474.41,25089.11
29074.7,26232.32,25089.11
29022.41,26362.84,25089.11
28983.08,26367.96,25089.11
28986.45,26421.32,25089.11
29349.29,27332.97,25089.11
29715.79,27493.88,25089.11
29733.13,26784.78,25089.11
29488.3,26841.97,25089.11
29351.45,27305.94,25089.11
29723.59,27369.31,25089.11
30052.48,27369.31,25089.11
29836.36,27476.43,25089.11
29363.27,26912.34,25089.11
29472.38,26316.16,25089.11
28815.24,26600.22,25089.11
28520.27,25627.01,25089.11
28335.35,25234.68,25089.11
28011.66,25667.12,25089.11
28061.03,26043.99,25089.11
27888.66,25964.0,25089.11
27979.55,25168.12,25089.11
28044.02,24460.93,24460.93
27693.34,24394.12,24394.12
27191.9,24266.58,24266.58
26794.22,24630.77,24266.58
26680.36,24507.54,24266.58
26870.89,24586.89,24266.58
26912.83,24421.63,24266.58
27249.55,25335.67,24266.58
27197.8,25113.94,24266.58
27325.61,24844.74,24266.58
27277.74,24611.55,24266.58
27116.56,24586.69,24266.58
27082.7,25010.65,24266.58
27143.1,24781.76,24266.58
27194.25,24751.74,24266.58
27257.34,24386.4,24266.58
27228.42,23842.39,23842.39
26806.78,24313.88,23842.39
26934.86,24493.99,23842.39
27048.85,24292.72,23842.39
27033.92,24801.28,23842.39
27197.72,24908.12,23842.39
27044.47,24780.06,23842.39
27300.81,25275.56,23842.39
27885.47,25462.05,23842.39
28045.66,25395.13,23842.39
27907.79,25287.95,23842.39
28050.87,25291.4,23842.39
27675.91,24950.36,23842.39
27416.53,25259.08,23842.39
27599.22,24816.84,23842.39
27609.17,25386.49,23842.39
28019.29,25564.04,23842.39
27743.12,25933.37,23842.39
27903.87,25518.54,23842.39
28014.09,25260.34,23842.39
27889.01,24673.09,23842.39
27604.38,24800.67,23842.39
27010.88,24526.03,23842.39
26802.69,24800.28,23842.39
27108.92,25047.57,23842.39
27306.67,25188.02,23842.39
27181.41,25048.69,23842.39
27720.91,25337.02,23842.39
28035.95,25319.05,23842.39
28085.43,25648.43,23842.39
28170.84,25449.51,23842.39
28200.71,25409.99,23842.39
28400.53,25867.94,23842.39
28422.61,26164.82,23842.39
28386.06,26035.27,23842.39
28653.7,26046.71,23842.39
28626.94,26047.51,23842.39
28310.42,25590.45,23842.39
28406.68,25590.45,23842.39
28126.23,25513.7,23842.39
28108.15,24900.34,23842.39
28226.29,25280.7,23842.39
27970.66,25445.11,23842.39
28301.25,25239.19,23842.39
27867.73,25406.13,23842.39
27913.54,25539.58,23842.39
27856.45,24969.82,23842.39
28009.37,25631.23,23842.39
28080.31,25810.2,23842.39
28259.05,25955.6,23842.39
28499.67,25959.39,23842.39
28523.0,25871.85,23842.39
28280.65,25279.46,23842.39
28411.12,25875.9,23842.39
28684.32,26000.02,23842.39
28842.21,26230.72,23842.39
28624.63,25621.74,23842.39
28220.4,25621.74,23842.39
28304.13,25521.79,23842.39
28115.24,25207.03,23842.39
27871.97,25861.95,23842.39
27971.52,25645.4,23842.39
27847.9,25814.69,23842.39
27726.59,25569.18,23842.39
27798.39,25639.78,23842.39
27994.05,25888.44,23842.39
28137.85,25349.12,23842.39
28124.32,25201.66,23842.39
28158.43,25937.78,23842.39
27974.27,25282.16,23842.39
