AvgDistance,LowestDistanceThisGen,LowestDistance
5600.64,4843.18,4843.18
4866.84,3965.83,3965.83
4664.74,3882.44,3882.44
4578.04,3882.44,3882.44
4146.62,3555.39,3555.39
4251.38,3514.69,3514.69
4266.49,3309.67,3309.67
4109.54,3309.67,3309.67
3965.23,3309.67,3309.67
4241.86,3265.59,3265.59
4340.61,3412.43,3265.59
4372.38,3412.43,3265.59
4128.06,3313.88,3265.59
4408.32,3451.28,3265.59
4341.06,3663.14,3265.59
4257.32,3663.14,3265.59
4549.37,3529.3,3265.59
4402.43,3377.68,3265.59
4257.43,3309.16,3265.59
4353.04,3320.15,3265.59
3969.99,3309.16,3265.59
3775.28,3111.62,3111.62
3718.9,2828.67,2828.67
4311.32,3450.73,2828.67
4418.68,3437.97,2828.67
4255.58,3564.14,2828.67
4296.32,3564.14,2828.67
4290.85,3622.82,2828.67
4508.33,3638.19,2828.67
4601.53,2981.04,2828.67
3936.46,2992.78,2828.67
4030.42,2548.01,2548.01
3892.21,2814.48,2548.01
3730.93,2814.48,2548.01
3897.0,3033.31,2548.01
3902.8,2757.04,2548.01
3731.3,2358.75,2358.75
3714.84,2791.35,2358.75
3720.43,2618.85,2358.75
3831.8,2713.74,2358.75
4080.86,2789.09,2358.75
3736.91,2757.8,2358.75
4007.36,2757.8,2358.75
3962.35,2879.88,2358.75
4529.52,3330.38,2358.75
4160.29,2938.67,2358.75
3931.88,2938.67,2358.75
3965.33,2938.67,2358.75
4051.46,3240.66,2358.75
4230.58,3378.06,2358.75
4213.6,2847.89,2358.75
3952.06,2847.89,2358.75
4115.81,3039.03,2358.75
4656.68,3836.28,2358.75
4580.75,3373.03,2358.75
4192.83,3262.16,2358.75
4080.72,3262.16,2358.75
3740.07,3041.66,2358.75
3988.77,3126.25,2358.75
3983.02,3126.25,2358.75
4056.95,3052.48,2358.75
3852.73,3149.86,2358.75
4180.34,3461.81,2358.75
4210.2,3461.81,2358.75
4147.56,3300.15,2358.75
3917.19,3300.15,2358.75
4324.92,3386.39,2358.75
4095.02,3223.67,2358.75
4069.49,3249.78,2358.75
3784.53,2983.72,2358.75
4024.4,2691.91,2358.75
4007.8,3299.78,2358.75
4007.31,2939.84,2358.75
3705.63,2939.84,2358.75
3677.96,2881.05,2358.75
3956.99,3124.08,2358.75
4055.05,2924.66,2358.75
4368.08,3310.77,2358.75
4527.67,3700.31,2358.75
4141.47,3656.64,2358.75
4254.26,3656.64,2358.75
4312.84,3656.64,2358.75
4300.12,3135.36,2358.75
4194.81,3230.29,2358.75
4089.22,3199.76,2358.75
3965.31,3772.49,2358.75
4462.49,3337.15,2358.75
4338.5,3645.11,2358.75
4250.96,2981.23,2358.75
4011.86,2981.23,2358.75
3915.36,2945.52,2358.75
3932.02,3263.01,2358.75
3804.13,2679.06,2358.75
3677.83,2328.21,2328.21
3794.0,2679.06,2328.21
3757.45,2679.06,2328.21
3807.44,3234.3,2328.21
4485.01,3081.73,2328.21
4131.79,3348.73,2328.21
4281.85,3335.75,2328.21
4174.5,3039.32,2328.21
3903.43,2872.1,2328.21
3390.94,2452.39,2328.21
3689.66,2452.39,2328.21
3348.99,2791.64,2328.21
4100.74,2452.39,2328.21
4108.27,3241.66,2328.21
4307.03,3994.91,2328.21
4338.45,2999.32,2328.21
3934.2,3171.71,2328.21
4252.89,3466.53,2328.21
4331.31,3539.17,2328.21
4273.7,3487.53,2328.21
4414.9,3487.85,2328.21
3922.19,3175.27,2328.21
4131.69,3660.63,2328.21
4607.88,3028.99,2328.21
4183.49,3704.13,2328.21
